case_id,district,project_category,land_category,area_acres,owner_count,circle_rate_lakh_acre,awarded_compensation_cr,is_anomaly,anomaly_type
CMP-1001,Gautam Buddha Nagar,Railways,residential,21.23,4,124.68,71.868,0,NORMAL
CMP-1002,Valsad,Water,agricultural,7.58,8,28.64,4.419,0,NORMAL
CMP-1003,Hooghly,Energy,agricultural,18.41,4,49.85,16.071,0,NORMAL
CMP-1004,Gautam Buddha Nagar,Aviation,commercial,39.76,7,106.54,161.556,0,NORMAL
CMP-1005,Palghar,Water,residential,0.69,8,41.72,0.73,0,NORMAL
CMP-1006,Valsad,Highways,commercial,7.24,1,36.67,9.657,0,NORMAL
CMP-1007,Raigad,Water,residential,37.33,8,64.68,57.743,0,NORMAL
CMP-1008,Raigad,Aviation,residential,0.67,2,53.92,0.761,0,NORMAL
CMP-1009,Panna,Aviation,commercial,5.7,8,27.42,6.069,0,NORMAL
CMP-1010,Sonnagar,Industrial,commercial,43.6,2,35.55,63.118,0,NORMAL
CMP-1011,Valsad,Water,agricultural,24.94,6,23.55,12.033,0,NORMAL
CMP-1012,Navsari,Railways,commercial,19.35,6,39.19,26.685,0,NORMAL
CMP-1013,Raigad,Highways,agricultural,38.61,8,52.16,43.704,0,NORMAL
CMP-1014,Hooghly,Aviation,agricultural,24.28,6,47.47,21.144,0,NORMAL
CMP-1015,Valsad,Aviation,commercial,18.28,1,45.25,29.687,0,NORMAL
CMP-1016,Raigad,Energy,agricultural,20.35,4,42.95,18.021,0,NORMAL
CMP-1017,Valsad,Industrial,residential,9.72,8,38.29,9.054,0,NORMAL
CMP-1018,Surat,Water,agricultural,13.64,1,63.2,17.706,0,NORMAL
CMP-1019,Valsad,Aviation,commercial,2.7,4,33.4,3.598,0,NORMAL
CMP-1020,Thane,Highways,commercial,30.16,3,134.56,132.131,0,NORMAL
CMP-1021,Dankuni,Highways,agricultural,12.26,2,57.84,16.288,0,NORMAL
CMP-1022,Sonnagar,Highways,agricultural,43.89,2,26.45,21.781,0,NORMAL
CMP-1023,Surat,Aviation,residential,10.76,4,48.84,14.471,0,NORMAL
CMP-1024,Sonnagar,Railways,commercial,44.36,4,20.47,31.518,0,NORMAL
CMP-1025,Thane,Energy,residential,26.13,8,132.79,108.385,0,NORMAL
CMP-1026,Gautam Buddha Nagar,Aviation,residential,44.72,7,102.17,134.978,0,NORMAL
CMP-1027,Palghar,Energy,residential,44.38,5,38.27,42.593,0,NORMAL
CMP-1028,Ahmedabad,Railways,residential,42.13,6,104.08,125.962,0,NORMAL
CMP-1029,Ahmedabad,Railways,commercial,18.6,3,70.81,44.232,0,NORMAL
CMP-1030,Thane,Railways,commercial,10.39,5,123.31,38.99,0,NORMAL
CMP-1031,Raigad,Energy,residential,32.64,6,58.78,53.89,0,NORMAL
CMP-1032,Navsari,Highways,commercial,4.48,1,44.12,6.406,0,NORMAL
CMP-1033,Thane,Water,agricultural,10.74,7,91.55,20.257,0,NORMAL
CMP-1034,Raigad,Water,residential,33.64,8,53.14,41.802,0,NORMAL
CMP-1035,Sonnagar,Railways,residential,38.47,3,28.73,27.315,0,NORMAL
CMP-1036,Ahmedabad,Industrial,agricultural,5.19,1,58.5,6.333,0,NORMAL
CMP-1037,Hooghly,Aviation,commercial,6.48,8,49.45,10.832,0,NORMAL
CMP-1038,Palghar,Industrial,commercial,24.54,8,27.44,23.114,0,NORMAL
CMP-1039,Ahmedabad,Railways,agricultural,10.82,7,91.06,20.872,0,NORMAL
CMP-1040,Sonnagar,Industrial,agricultural,11.79,3,18.23,3.754,0,NORMAL
CMP-1041,Navsari,Industrial,residential,30.59,4,41.97,32.402,0,NORMAL
CMP-1042,Panna,Railways,commercial,6.98,8,15.91,4.297,0,NORMAL
CMP-1043,Raigad,Railways,commercial,35.75,3,44.86,57.036,0,NORMAL
CMP-1044,Thane,Highways,commercial,12.31,3,67.81,31.644,0,NORMAL
CMP-1045,Ahmedabad,Railways,residential,14.7,6,111.06,42.099,0,NORMAL
CMP-1046,Gautam Buddha Nagar,Energy,commercial,23.43,7,126.99,111.102,0,NORMAL
CMP-1047,Raigad,Aviation,agricultural,23.94,3,43.22,17.131,0,NORMAL
CMP-1048,Palghar,Highways,commercial,36.2,7,47.52,110.317,1,OVER_VALUED
CMP-1049,Raigad,Industrial,residential,3.12,6,56.16,4.431,0,NORMAL
CMP-1050,Dankuni,Energy,agricultural,2.78,6,40.69,2.395,0,NORMAL
CMP-1051,Dankuni,Aviation,residential,7.11,6,50.98,7.506,0,NORMAL
CMP-1052,Surat,Energy,commercial,19.14,8,57.82,37.222,0,NORMAL
CMP-1053,Sonnagar,Aviation,commercial,36.12,6,26.78,32.038,0,NORMAL
CMP-1054,Hooghly,Water,commercial,36.01,3,38.25,54.0,0,NORMAL
CMP-1055,Raigad,Industrial,residential,35.33,2,39.98,16.137,1,UNDER_VALUED
CMP-1056,Ahmedabad,Aviation,commercial,17.04,6,93.72,64.173,0,NORMAL
CMP-1057,Panna,Industrial,agricultural,3.14,5,20.95,1.307,0,NORMAL
CMP-1058,Raigad,Highways,residential,4.03,5,60.66,8.696,1,OVER_VALUED
CMP-1059,Sonnagar,Highways,residential,28.61,7,18.11,11.481,0,NORMAL
CMP-1060,Ahmedabad,Water,residential,32.81,2,116.7,99.674,0,NORMAL
CMP-1061,Panna,Water,residential,9.26,1,15.18,3.327,0,NORMAL
CMP-1062,Panna,Industrial,commercial,17.37,8,17.03,9.293,0,NORMAL
CMP-1063,Navsari,Energy,residential,7.42,4,51.0,9.19,0,NORMAL
CMP-1064,Sonnagar,Aviation,agricultural,27.48,1,24.29,12.27,0,NORMAL
CMP-1065,Ahmedabad,Aviation,residential,41.93,4,101.96,87.987,0,NORMAL
CMP-1066,Raigad,Water,residential,36.25,2,51.45,50.089,0,NORMAL
CMP-1067,Ahmedabad,Railways,residential,30.05,3,97.35,76.062,0,NORMAL
CMP-1068,Palghar,Railways,agricultural,8.56,4,41.74,8.011,0,NORMAL
CMP-1069,Sonnagar,Aviation,residential,6.18,4,30.87,4.439,0,NORMAL
CMP-1070,Gautam Buddha Nagar,Aviation,agricultural,25.26,2,94.6,52.208,0,NORMAL
CMP-1071,Sonnagar,Energy,agricultural,13.51,1,22.36,5.95,0,NORMAL
CMP-1072,Palghar,Highways,agricultural,3.45,3,28.02,2.143,0,NORMAL
