stage_duration_days,district,project_category,objection_count,has_dispute,land_category,area_acres,owner_count,distance_from_hq_km,is_delayed,days_to_next_stage
155,Dankuni,Highways,4,1,agricultural,59.05,11,70.9,1,282.1
126,Thane,Highways,2,1,agricultural,45.12,12,62.4,1,252.0
96,Gautam Buddha Nagar,Energy,0,0,agricultural,12.86,13,33.3,0,109.1
37,Valsad,Industrial,1,0,commercial,77.86,4,9.3,0,123.8
50,Valsad,Industrial,5,1,agricultural,61.96,2,81.5,1,231.2
98,Hooghly,Aviation,0,0,commercial,21.72,6,62.3,0,77.2
251,Sonnagar,Railways,4,0,agricultural,51.38,9,22.4,1,232.3
176,Thane,Railways,0,0,agricultural,73.09,10,83.5,0,162.4
88,Ahmedabad,Aviation,5,1,commercial,59.73,5,26.4,1,243.9
85,Ahmedabad,Energy,0,0,agricultural,4.25,2,16.2,0,82.9
210,Gautam Buddha Nagar,Highways,1,0,commercial,20.49,5,82.1,1,125.3
189,Dankuni,Industrial,8,1,commercial,13.07,1,90.7,1,282.1
69,Panna,Railways,0,0,residential,51.3,2,16.2,0,52.4
180,Panna,Highways,0,0,residential,29.36,3,24.3,0,120.5
263,Palghar,Highways,4,0,residential,42.85,2,13.9,0,183.4
231,Navsari,Industrial,3,0,residential,60.54,2,68.3,0,179.9
246,Valsad,Water,5,1,residential,5.59,1,56.7,1,279.8
45,Palghar,Aviation,2,1,residential,68.84,1,49.8,0,226.7
257,Panna,Railways,9,1,residential,64.7,2,10.8,1,331.0
42,Ahmedabad,Water,4,0,residential,8.32,4,69.7,0,109.6
244,Surat,Railways,4,1,residential,22.64,2,83.3,1,280.0
291,Panna,Highways,4,0,agricultural,74.15,14,24.0,0,252.9
209,Ahmedabad,Highways,8,1,agricultural,21.58,13,75.0,1,369.5
264,Sonnagar,Industrial,6,1,residential,17.81,1,55.9,1,280.8
259,Thane,Highways,3,0,residential,13.02,1,81.2,0,151.3
141,Surat,Water,0,0,agricultural,7.02,11,56.3,0,100.6
175,Surat,Aviation,8,1,residential,10.9,3,44.5,1,276.4
66,Thane,Water,5,1,residential,40.72,2,88.8,1,214.6
239,Valsad,Energy,2,0,agricultural,49.13,13,62.8,1,186.5
83,Navsari,Aviation,3,1,agricultural,59.52,3,27.3,0,213.5
150,Surat,Aviation,0,0,residential,72.7,1,10.6,0,106.8
149,Thane,Energy,9,1,agricultural,44.36,7,54.2,1,355.5
33,Sonnagar,Railways,1,0,residential,12.27,2,5.9,0,96.6
142,Thane,Energy,0,0,agricultural,45.01,14,39.8,0,125.3
226,Surat,Railways,7,1,agricultural,62.7,7,76.6,1,305.3
70,Navsari,Railways,0,0,residential,37.92,2,77.9,0,73.5
113,Surat,Railways,0,0,agricultural,6.02,13,28.0,0,92.0
74,Panna,Energy,0,0,agricultural,46.66,5,5.6,0,75.2
276,Valsad,Water,5,1,residential,20.75,4,2.2,1,281.2
115,Sonnagar,Aviation,0,0,residential,53.31,3,60.0,0,82.6
224,Navsari,Industrial,1,0,commercial,44.58,2,41.1,1,115.9
169,Raigad,Industrial,2,0,residential,24.66,2,42.0,0,106.5
124,Hooghly,Water,2,0,commercial,76.81,6,17.8,1,153.7
62,Dankuni,Industrial,2,0,commercial,53.99,2,77.0,0,108.5
248,Hooghly,Industrial,1,0,agricultural,15.96,12,37.7,0,161.4
232,Sonnagar,Highways,10,1,agricultural,37.43,9,25.2,1,348.3
177,Hooghly,Aviation,3,0,residential,49.21,4,79.2,0,141.6
147,Sonnagar,Water,2,0,commercial,22.55,5,47.1,0,142.6
154,Sonnagar,Energy,3,0,agricultural,6.91,3,23.5,0,100.3
184,Palghar,Water,0,0,commercial,16.94,4,38.2,1,53.6
259,Thane,Industrial,7,1,commercial,24.24,4,81.4,1,307.0
